Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
03-01-2024,19:49,03-01-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 31,31 EUR",,,,EUR,504.21,
03-01-2024,19:49,03-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-31.31,EUR,472.90,
03-01-2024,07:39,02-01-2024,,,Währungswechsel (Einbuchung),,EUR,31.31,EUR,504.21,
03-01-2024,07:39,02-01-2024,,,Währungswechsel (Ausbuchung),1.0969,USD,-34.34,USD,0.00,
02-01-2024,14:48,01-01-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 18,26 EUR",,,,EUR,472.90,
02-01-2024,14:48,01-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-18.26,EUR,454.64,
02-01-2024,09:50,02-01-2024,,,Flatex Interest Income,,EUR,0.00,EUR,472.90,
02-01-2024,08:47,29-12-2023,BANK OF AMERICA CORPOR,US0605051046,Dividendensteuer,,USD,-3.42,USD,34.34,
02-01-2024,08:47,29-12-2023,BANK OF AMERICA CORPOR,US0605051046,Dividende,,USD,22.80,USD,37.76,
02-01-2024,07:43,29-12-2023,THE KRAFT HEINZ COMPAN,US5007541064,Dividendensteuer,,USD,-2.64,USD,14.96,
02-01-2024,07:43,29-12-2023,THE KRAFT HEINZ COMPAN,US5007541064,Dividende,,USD,17.60,USD,17.60,
31-12-2023,07:36,29-12-2023,,,Währungswechsel (Einbuchung),,EUR,1.02,EUR,472.90,
31-12-2023,07:36,29-12-2023,,,Währungswechsel (Ausbuchung),1.1066,USD,-1.13,USD,0.00,
31-12-2023,07:36,29-12-2023,,,Währungswechsel (Einbuchung),,EUR,17.24,EUR,471.88,
31-12-2023,07:36,29-12-2023,,,Währungswechsel (Ausbuchung),0.8691,GBP,-14.98,GBP,0.00,
31-12-2023,00:37,29-12-2023,ISHR UK DIV,IE00B0M63060,Dividende,,GBP,14.98,GBP,14.98,
31-12-2023,00:34,29-12-2023,ISHARES AUTOMATION & ROBOTICS UCITS,IE00BYWZ0333,Dividende,,USD,1.13,USD,1.13,
20-12-2023,17:32,20-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 13,46 EUR",,,,EUR,454.64,
20-12-2023,17:32,20-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-13.46,EUR,441.18,
20-12-2023,06:58,19-12-2023,,,Währungswechsel (Einbuchung),,EUR,13.46,EUR,454.64,
20-12-2023,06:58,19-12-2023,,,Währungswechsel (Ausbuchung),1.1008,USD,-14.82,USD,0.00,
19-12-2023,19:18,19-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 23,69 EUR",,,,EUR,441.18,
19-12-2023,19:18,19-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-23.69,EUR,417.49,
19-12-2023,14:47,18-12-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 31,23 EUR",,,,EUR,441.18,
19-12-2023,14:47,18-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,31.23,EUR,472.41,
19-12-2023,07:18,18-12-2023,,,Währungswechsel (Einbuchung),,EUR,23.69,EUR,441.18,
19-12-2023,07:18,18-12-2023,,,Währungswechsel (Ausbuchung),1.0950,USD,-25.94,USD,14.82,
19-12-2023,07:13,18-12-2023,DUKE ENERGY CORPORATIO,US26441C2044,Dividende,,USD,17.43,USD,40.76,
19-12-2023,07:13,18-12-2023,DUKE ENERGY CORPORATIO,US26441C2044,Dividendensteuer,,USD,-2.61,USD,23.33,
18-12-2023,20:18,18-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 31,23 EUR",,,,EUR,417.49,
18-12-2023,20:18,18-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-31.23,EUR,386.26,
18-12-2023,16:02,15-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 31,23 EUR",,,,EUR,417.49,
18-12-2023,16:02,15-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-31.23,EUR,386.26,
18-12-2023,08:09,15-12-2023,KELLANOVA,US4878361082,Dividende,,USD,8.96,USD,25.94,
18-12-2023,08:08,15-12-2023,KELLANOVA,US4878361082,Dividendensteuer,,USD,-1.34,USD,16.98,
18-12-2023,07:53,15-12-2023,CORNING INCORPORATED C,US2193501051,Dividende,,USD,16.24,USD,18.32,
18-12-2023,07:53,15-12-2023,CORNING INCORPORATED C,US2193501051,Dividendensteuer,,USD,-2.44,USD,2.08,
18-12-2023,07:30,15-12-2023,NEXTERA ENERGY,US65339F1012,Dividende,,USD,4.68,USD,4.52,
18-12-2023,07:30,15-12-2023,NEXTERA ENERGY,US65339F1012,Dividendensteuer,,USD,-0.70,USD,-0.16,
18-12-2023,07:13,15-12-2023,WK KELLOGG CO COMMON STOCK WHEN-,US92942W1071,Dividende,,USD,0.64,USD,0.54,
18-12-2023,07:13,15-12-2023,WK KELLOGG CO COMMON STOCK WHEN-,US92942W1071,Dividendensteuer,,USD,-0.10,USD,-0.10,
15-12-2023,07:32,14-12-2023,,,Währungswechsel (Einbuchung),,EUR,31.23,EUR,417.49,
15-12-2023,07:32,14-12-2023,,,Währungswechsel (Ausbuchung),1.1021,USD,-34.42,USD,0.00,
14-12-2023,06:57,12-12-2023,3M COMPANY COMMON STOC,US88579Y1010,Dividendensteuer,,USD,-6.08,USD,34.42,
14-12-2023,06:57,12-12-2023,3M COMPANY COMMON STOC,US88579Y1010,Dividende,,USD,40.50,USD,40.50,
13-12-2023,16:47,13-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 14,34 EUR",,,,EUR,386.26,
13-12-2023,16:47,13-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-14.34,EUR,371.92,
13-12-2023,07:48,12-12-2023,,,Währungswechsel (Einbuchung),,EUR,14.34,EUR,386.26,
13-12-2023,07:48,12-12-2023,,,Währungswechsel (Ausbuchung),1.0821,USD,-15.52,USD,0.00,
12-12-2023,16:47,12-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 21,49 EUR",,,,EUR,371.92,
12-12-2023,16:47,12-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-21.49,EUR,350.43,
12-12-2023,07:55,08-12-2023,INTERNATIONAL BUSINESS,US4592001014,Dividende,,USD,18.26,USD,15.52,
12-12-2023,07:55,08-12-2023,INTERNATIONAL BUSINESS,US4592001014,Dividendensteuer,,USD,-2.74,USD,-2.74,
12-12-2023,07:49,11-12-2023,,,Währungswechsel (Einbuchung),,EUR,21.49,EUR,371.92,
12-12-2023,07:49,11-12-2023,,,Währungswechsel (Ausbuchung),1.0791,USD,-23.19,USD,0.00,
11-12-2023,07:33,08-12-2023,AMERICAN ELECTRIC POWER,US0255371017,Dividende,,USD,27.28,USD,23.19,
11-12-2023,07:33,08-12-2023,AMERICAN ELECTRIC POWER,US0255371017,Dividendensteuer,,USD,-4.09,USD,-4.09,
05-12-2023,16:47,05-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 15,49 EUR",,,,EUR,350.43,
05-12-2023,16:47,05-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-15.49,EUR,334.94,
05-12-2023,08:16,04-12-2023,,,Währungswechsel (Einbuchung),,EUR,15.49,EUR,350.43,
05-12-2023,08:16,04-12-2023,,,Währungswechsel (Ausbuchung),1.0864,USD,-16.83,USD,0.00,
