;Product;Tickers;Currency
0;3M COMPANY COMMON STOC;MMM;USD
1;ADMIRAL GRP;ADM.L;GBp
2;AFFINE R.E.;IML.PA;EUR
3;AIR FRANCE-KLM;AF.PA;EUR
4;ALLIANZ SE;ALV.DE;EUR
5;ALSTOM;ALO.PA;EUR
6;AMERICAN ELECTRIC POWER;AEP;USD
7;APPLE INC. - COMMON ST;AAPL;USD
8;ATOS;ATO.PA;EUR
9;AXA;CS.PA;EUR
10;BALYO;BALYO.PA;EUR
11;BASF SE;BAS.DE;EUR
12;BAYER AG;BAYN.DE;EUR
13;BOLLORE;BOL.PA;EUR
14;BONDUELLE;BON.PA;EUR
15;BOUYGUES;EN.PA;EUR
16;CARDINAL HEALTH INC.;CAH;USD
17;CARREFOUR;CA.PA;EUR
18;CF INDUSTRIES HOLDINGS;CF;USD
19;CISCO SYSTEMS INC. -;CSCO;USD
20;CLIME TR B;CLIME-B.ST;SEK
21;CLIMEON AB;CLIME-B.ST;SEK
22;COCA-COLA COMPANY (THE;KO;USD
23;CREDIT AGRICOLE;ACA.PA;EUR
24;DANONE;BN.PA;EUR
25;DATALOGIC .;DAL.MI;EUR
26;DELL TECHNOLOGIES INC.;DELL;USD
27;DEUTSCHE POST AG;DPW.DE;EUR
28;DUKE ENERGY CORPORATIO;DUK;USD
29;E.ON SE;EOAN.DE;EUR
30;EDF;EDF.PA;EUR
31;ENGIE;ENGI.PA;EUR
32;EXXON MOBIL CORPORATIO;XOM;USD
33;FORD MOTOR COMPANY COM;F;USD
34;GARMIN LTD. - COMMON S;GRMN;USD
35;GENERAL ELECTRIC COMPANY COMMON STOCK;GE;USD
36;GENERAL MILLS;GIS;USD
37;HUGO BOSS AG;BOSS.DE;EUR
38;INTEL CORPORATION - CO;INTC;USD
39;INTERNATIONAL BUSINESS;IBM;USD
40;IS EUR MC EUR D;EMID.L;EUR
41;ISHARES ASIA PROPERTY YIELD UCITS ET...;IQQ4.F;EUR
42;ISHARES MSCI EASTERNEUROPECAPPEDUCITS...;IQQR.DE;EUR
43;ISHARES MSCI EUROPE QUALITY DIV ETF E...;QDVX.DE;EUR
44;ISHARES MSCI JAPAN UCITS ETF USD (DIST);IQQJ.DE;EUR
45;ISHARES MSCI WORLD ESG ENHANCED UCITS...;EDMW.F;EUR
46;ISHARES PROP US;IUSP.AS;EUR
47;ISHR UK DIV;IUKD.L;GBp
48;JC DECAUX SA.;DEC.PA;EUR
49;JOHNSON MATTHEY PLC;JMAT.L;GBp
50;KGHM POLSKA MIEDZ SA;KGHA.F;PLN
51;KLEPIERRE;LI.PA;EUR
52;KROGER COMPANY (THE) C;KR;USD
53;KYNDRYL HOLDINGS INC;KD;USD
54;MCDONALDS CORPORATION;MCD;USD
55;NATIONAL GRID;NG.L;GBp
56;NATIONAL GRID PLC-SP ADR;NG.L;GBp
57;NEXTERA ENERGY;NEE;USD
58;NOKIA;NOK;EUR
59;ORANGE;ORA.PA;EUR
60;PEUGEOT;STLA;EUR
61;PLASTIC OMNIUM;OPM.PA;EUR
62;SAINT GOBAIN;SGO.PA;EUR
63;SANOFI;SAN.PA;EUR
64;SCHNEIDER ELECTRIC;SU.PA;EUR
65;SES;SESG.PA;EUR
66;SOCIETE GENERALE;GLE.PA;EUR
67;TARKETT;TKTT.PA;EUR
68;TESCO;TSCO.L;GBp
69;THE KRAFT HEINZ COMPAN;KHC;USD
70;TOTALENERGIES;TTE.PA;EUR
71;TOUR EIFFEL;EIFF.PA;EUR
72;UBER TECHNOLOGIES INC. COMMON STOCK;UBER;USD
73;UNIBAIL-RODAMCO-WE;URW.AS;EUR
74;VALEO;FR.PA;EUR
75;VEOLIA ENVIRON.;VIE.PA;EUR
76;VERIZON COMMUNICATIONS;VZ;USD
77;VINCI;DG.PA;EUR
78;VONOVIA SE;VNA.DE;EUR
79;VONOVIA SE BZR;VNA.DE;EUR
80;WELLTOWER INC. COMMON;WELL;USD
81;ZALANDO SE;ZAL.DE;EUR
82;;PLNEUR=X;PLNEUR=X
83;;SEKEUR=X;SEKEUR=X
84;;GBpEUR=X;GBpEUR=X
85;;USDEUR=X;USDEUR=X
86;SUEDZUCKER AG;SZU.DE;EUR
87;BANK OF AMERICA CORPOR;BAC;USD
88;KELLOGG COMPANY COMMON;K;USD
89;GE HEALTHCARE TECHNOLOGIES INC. - COM...;GEHCV;USD
90;CONAGRA FOODS INC. CO;CAG;USD
91;CORNING INCORPORATED C;GLW;USD
92;ISHARES AUTOMATION & ROBOTICS UCITS;2B7F.DE;EUR
93;WK KELLOGG CO COMMON STOCK WHEN-;KLG-WI;USD
94;MICHELIN;ML.PA;EUR
95;SOLVENTUM CORPORATION COMMON;SOLV-WI;USD
96;GE VERNOVA INC. COMMON STOCK;GEV;USD
97;NTL GRID NP;NGPN.L;GBp
98;GENERAL MILLS INC. CO;GIS;USD
99;;GBPEUR=X;GBPEUR=X
100;BANK OF AMERICA CORP;BAC;USD